ref:hmdb,ref:US-TX:thc,name,ErectedBy,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county,isMissing
119669,13939,WPA Projects at Kyle School,Texas Historical Commission,29.99149,-97.87809,,Kyle,Hays County,
119672,9843,Franklin County,the State of Texas,33.18443,-95.23387,213 TX-37,Mount Vernon,Franklin County,
119684,10290,Kyle Cemetery,Texas Historical Commission,29.96322,-97.89783,2607 S. Old Stagecoach Road,Kyle,Hays County,
119688,7823,1929 Hunt County Courthouse,Texas Historical Commission,33.13964,-96.10702,2507 Lee Street,Greenville,Hunt County,
119689,7785,The Seven Courthouses of Hunt County,,33.13966,-96.10700,2507 Lee Street,Greenville,Hunt County,
119692,13142,Site of Phillips Field/Majors Stadium,Texas Historical Commission,33.14111,-96.10219,,Greenville,Hunt County,
119694,942,Coleman Ranch Field Discovery Well,Texas Historical Commission,32.50102,-101.05004,,Colorado City,Mitchell County,
119701,4906,Site of Town of Cuthbert,State Historical Survey Committee,32.48243,-101.03374,,Colorado City,Mitchell County,
119703,2356,Handley Cemetery,State Historical Survey Committee,32.44040,-100.99266,,Colorado City,Mitchell County,
119705,9624,Fort Boggy,Texas Historical Commission,31.19441,-95.99400,,Centerville,Leon County,
119710,7795,Greenville Building and Loan Association,Texas Historical Commission,33.14005,-96.11026,2900 Lee St,Greenville,Hunt County,
119712,7799,The Old Greenville Post Office,Texas Historical Commission,33.13999,-96.11074,2920 Lee St,Greenville,Hunt County,
119714,12547,Greenville,Texas Historical Commission,33.13897,-96.10978,2821 Washington St,Greenville,Hunt County,
119720,6948,The Texas Livery Stable,State Historical Survey Committee,33.37395,-95.68972,200 West Dallas Avenue,Cooper,Delta County,
119722,18129,Cooper Rail Depot,Texas Historical Commission,33.37399,-95.69403,700 West Dallas Street,Cooper,Delta County,
119723,6936,First National Bank,State Historical Survey Committee.,33.37393,-95.68881,11 West Side Square,Cooper,Delta County,
119739,7796,Greenville Cotton Compress,State Historical Survey Committee.,33.13966,-96.09887,1426 Lee Street,Greenville,Hunt County,
119741,,The Oblates of Mary Immaculate,City of Brownsville,25.90237,-97.49562,1218 East Jefferson Street,Brownsville,Cameron County,
119744,7332,Site of the Union Stockade,Texas Historical Commission,33.13823,-95.60366,303 Connally Street,Sulphur Springs,Hopkins County,
119745,7316,Hopkins County Echo-Daily News-Telegram,Texas Historical Commission,33.14057,-95.60102,401 Church Street,Sulphur Springs,Hopkins County,
119746,12624,Sacred Heart Catholic Church,Texas Historical Commission,25.90489,-97.50241,602 East Elizabeth Street,Brownsville,Cameron County,
119748,,Sacred Heart Church,City of Brownsville & the Parishioners of Sacred Heart Church,25.90487,-97.50238,602 East Elizabeth Street,Brownsville,Cameron County,
119751,,Sacred Heart Church,Brownsville Historical Association,25.90484,-97.50234,602 East Elizabeth Street,Brownsville,Cameron County,
119752,7333,Sulphur Springs Volunteer Fire Department and Fire Bell of 1889,Texas Historical Commission,33.14378,-95.60068,627 Church Street,Sulphur Springs,Hopkins County,
119766,7330,Townsite of Tarrant,Texas Historical Commission,33.19873,-95.58826,,Sulphur Springs,Hopkins County,
119776,7317,Home County of Texas Confederate General W. H. King / Texas in the Civil War,the State of Texas.,33.13829,-95.60073,100 Church Street,Sulphur Springs,Hopkins County,
119781,7304,City National Bank,Texas Historical Commission,33.13846,-95.60158,201 Connally Street,Sulphur Springs,Hopkins County,
119782,7315,Hopkins County Courthouse,Texas Historical Commission,33.13845,-95.60080,118 Church Street,Sulphur Springs,Hopkins County,
119785,6933,DeSpain Bridge,State Historical Survey Committee.,33.36221,-95.60844,,Cooper,Delta County,
119786,6944,Hiram Rattan,State Historical Survey Committee.,33.36648,-95.63138,,Cooper,Delta County,
119792,7772,Bruce B. Williams American Legion Post No. 1,Texas Historical Commission,33.25050,-95.89807,1210 Park Street,Commerce,Hunt County,
119793,7808,Jernigin's Store,Texas Historical Commission,33.25049,-95.89809,1210 Park Street,Commerce,Hunt County,
