ref:US-TX:thc,ref:hmdb,isMissing,name,operator,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county
5813,55739,,Will Rogers,State Historical Survey Committee,36.11688,-100.03142,,Higgins,Lipscomb County
5814,118039,,Willacy County,State of Texas,26.48208,-97.78711,523 W Hidalgo Ave,Raymondville,Willacy County
18553,117516,,Willacy County Courthouse,Texas Historical Commission,26.48201,-97.78712,523 W Hidalgo Ave,Raymondville,Willacy County
13751,139306,,Willard Cemetery,Texas Historical Commission (HTC Medallion),32.95071,-95.24918,,Winnsboro,Wood County
5815,185103,,Willburn Cemetery,Texas Historical Commission,32.69539,-97.43551,3720 Streamwood Road,Fort Worth,Tarrant County
9275,29461,,"William (""Bill"") Goyens",State of Texas,31.60348,-94.65635,101 W. Main Street,Nacogdoches,Nacogdoches County
5817,187441,,William A. Matthews,State of Texas,29.50865,-97.45833,,Gonzales,Gonzales County
8137,202895,,William A. Waugh,Texas Historical Commission,28.58287,-99.20267,,Millett,La Salle County
12571,244621,,William A. Wills,Texas Historical Commission,32.69941,-95.99166,,Wills Point,Van Zandt County
5819,170229,,William Alfred Sanderson,Texas Historical Commission,32.74791,-97.29129,2433 Scott Ave,Fort Worth,Tarrant County
18752,142536,,William and Adele Skinner House,Texas Historical Commission,29.30397,-94.78162,1318 Sealy Avenue,Galveston,Galveston County
11986,95800,,William and Blanche Brooks House,Texas Historical Commission,32.74312,-96.47344,500 S Center St,Forney,Kaufman County
6207,245294,,"William and Charlotte Stone House ""Stonehaven""",Texas Historical Commission,32.99859,-96.54236,1450 S Ballard Avenue,Wylie,Collin County
19996,192530,,William and Elisabeth Woody Homestead,Texas Historical Commission,32.9228,-97.68244,7903 Old Springtown Road,Springtown,Parker County
18527,245569,,William and Lena Juneman Smith,Texas Historical Commission,29.30355,-94.78613,1709 Ball Ave,Galveston,Galveston County
13156,213307,,William and Mary Ann Richter House,Texas Historical Commission,29.41887,-98.49002,419 South Presa Street,San Antonio,Bexar County
12433,163246,,William B. Bridgers,Texas Historical Commission,29.68536,-96.91935,1111 Eilers Street,Schulenburg,Fayette County
1193,130389,,William B. DeWees,State Historical Survey Committee,29.70419,-96.54191,1324 Bowie Street,Columbus,Colorado County
