OsmNodeID,thc:Latitude,thc:Longitude,abandoned:historic,abandoned:memorial,access,addr:city,addr:country,addr:county,addr:full,addr:state,alt_name,check_date,colour,contact:facebook,date,description,designation,direction,ele,flickr,gnis:feature_id,heritage,heritage:operator,historic,image,image:creator,inscription,inscription:url,mapillary,material,memorial,memorial:website,name,name:en,name:es,name:etymology:wikidata,name:pt,name:sr,name:ur,name:zh,note,official_name,openplaques:id,operator,operator:es,operator:wikidata,panoramax,ref:US-TX:thc,ref:hmdb,short_name,source:url,source:website,source_ref,start_date,subject:wikidata,subject:wikimedia_commons,subject:wikipedia,support,thc:designation,thc:inscription_date,website,wikidata,wikimedia_commons,wikipedia,year
5223181310,25.9103318,-97.5078747,,,,,,,,,,,,,,,,,,,,,,memorial,https://upload.wikimedia.org/wikipedia/commons/9/93/Church_of_the_Advent_Cameron_County_Texas.jpg,,"One of the earliest Episcopal churches organized in Texas, this congregation was founded in 1851. The Rev. William Passmore served as first Rector, and by 1854 a church building was completed in the downtown area. Destroyed by a hurricane in 1867, it was",,,aluminium,plaque,,Church of the Advent,,,,,,,,,,,Texas Historical Commission,,Q2397965,,856,,,,,,1988,,,,,Recorded Texas Historic Landmark,,https://atlas.thc.texas.gov/Details/5061000856,,,en:File:Church of the Advent Cameron County Texas.jpg,
5223186838,26.0762199,-97.207193,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=165642,Charles Champion,,,,,,,,,,,Texas Historical Commission,,Q2397965,,14006,165642,,,https://atlas.thc.texas.gov/Details/5507014006,,1996,,,,,Historical Marker,,,,,,
5223205355,25.902538,-97.5033,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Convent of the Incarnate Word and Blessed Sacrament,,,,,,,,,,,Texas Historical Commission,,Q2397965,,1044,,,,https://atlas.thc.texas.gov/Details/5061001044,,1972,,,,,Historical Marker,,,,,,
5223205356,25.9072459,-97.501832,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Cisneros House,,,,,,,,,,,Texas Historical Commission,,Q2397965,,866,,,,https://atlas.thc.texas.gov/Details/5061000866,,1991,,,,,Recorded Texas Historic Landmark,,,,,,
5223212861,25.9027546,-97.4944265,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=195579,Cueto Building (La Nueva Libertad),,,,,,,,,,,Texas Historical Commission,,Q2397965,,1128,195579,,,https://atlas.thc.texas.gov/Details/5061001128,,1985,,,,,Recorded Texas Historic Landmark,,,,,,
5223224956,26.2520233,-97.7315862,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,James Henry Dishman,,,,,,,,,,,Texas Historical Commission,,Q2397965,,2724,,,,https://atlas.thc.texas.gov/Details/5061002724,,1992,,,,,Historical Marker,,,,,,
5223234755,26.1558395,-97.8221919,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Dunlap House,,,,,,,,,,,Texas Historical Commission,,Q2397965,,1299,,,,https://atlas.thc.texas.gov/Details/5061001299,,1969,,,,,Historical Marker,,,,,,
5223243120,26.0247106,-97.6272245,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=165676,Esparza Cemetery,,,,,,,,,,,Texas Historical Commission,,Q2397965,,11779,165676,,,https://atlas.thc.texas.gov/Details/5061011779,,1999,,,,,Historical Marker,,,,,,
5223255928,26.1341256,-97.6295717,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=119522,First Methodist Church of San Benito,,Primera Iglesia Metodista de San Benito,,,,,,,,,Texas Historical Commission,Comisión Histórica de Texas,Q2397965,,14003,119522,,,https://atlas.thc.texas.gov/Details/5507014003,,2007,,,,,Historical Marker,,,,,,
5223263343,26.1585154,-97.8239065,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=166259,Site of First Bank in La Feria,,Sitio del Primer Banco en La Feria,,,,,,,,,Texas Historical Commission,Comisión Histórica de Texas,Q2397965,,4782,166259,,,https://atlas.thc.texas.gov/Details/5061004782,,1976,,,,,Historical Marker,,,,,,
