ref:hmdb,ref:US-TX:thc,name,Subtitle,Add'l Subtitle,memorial:website,year,,operator,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,Section or Quarter,addr:county,addr:state,Marker Notes,isMissing,,First Published,Last Update
30709,95,The Alamo Cenotaph,"""The Spirit of Sacrifice""",,https://www.hmdb.org/m.asp?m=30709,1936,,State of Texas,29.42616,-98.48669,301 Alamo Plaza,San Antonio,Alamo Plaza,Bexar County,Texas,"It is at the intersection of Alamo Plaza and Houston Street, on the right when traveling north on Alamo Plaza. ",,,5/15/2010,7/13/2024
30713,96,Alamo Low Barracks and Main Gateway,,,https://www.hmdb.org/m.asp?m=30713,1996,,Texas Historical Commission,29.42553,-98.4868,300 Alamo Plaza,San Antonio,Alamo Plaza,Bexar County,Texas,"It is on Alamo Plaza, on the right when traveling north. ",,,5/15/2010,2/2/2023
65282,98,Alamo Portland and Roman Cement Company,,,https://www.hmdb.org/m.asp?m=65282,1991,,Texas Historical Commission,29.46069,-98.47659,3853 N St Mary's St,San Antonio,Midtown,Bexar County,Texas,"It is on North Saint Mary's Street 0.3 miles north of East Mulberry Avenue, on the left when traveling east. ",,,5/13/2013,2/2/2023
158655,99,Albert Clinton Horton,(1798-1865),,https://www.hmdb.org/m.asp?m=158655,1986,,Texas Historical Commission,28.70014,-95.95554,,Matagorda,,Matagorda County,Texas,"It is at the intersection of South Gulf Road and Matagorda Cemetery Road, on the left when traveling east on South Gulf Road. ",,,10/26/2020,10/26/2020
159005,102,Albert R. Mace,"(April 30, 1872 - Oct.18, 1938)",,https://www.hmdb.org/m.asp?m=159005,1968,,State Historical Survey Committee,31.69365,-96.47935,,Mexia,,Limestone County,Texas,It can be reached from the intersection of North Kaufman Street and East Evelyn Street. ,,,10/31/2020,10/31/2020
203510,103,Albert Turner Clifton House,,,https://www.hmdb.org/m.asp?m=203510,1991,,Texas Historical Commission,31.53947,-97.15135,2600 Austin Avenue,Waco,,McLennan County,Texas,"It is at the intersection of Austin Avenue and North 26th Street, on the left when traveling west on Austin Avenue. ",,,8/10/2022,8/10/2022
167486,104,Albuquerque,(2.5 Miles to the Northeast ),,https://www.hmdb.org/m.asp?m=167486,1972,,State Historical Survey Committee,29.31958,-97.84386,,Nixon,,Gonzales County,Texas,"It is at the intersection of Farm to Market Road 1681 and County Highway 449, on the left when traveling west on Highway 1681. ",,,2/27/2021,2/27/2021
37981,105,Alderete-Candelaria House,,,https://www.hmdb.org/m.asp?m=37981,1984,,Texas Historical Commission,31.6903,-106.32635,122 South Old Pueblo Drive,El Paso,South Loop,El Paso County,Texas,"It is on South Old Pueblo Drive south of Alameda Avenue (Texas Highway 20), on the left when traveling north. ",,,11/20/2010,12/15/2015
51271,107,"Carmelo ""Charles"" Bertolino","(September 4, 1887 - March 8, 1960)",,https://www.hmdb.org/m.asp?m=51271,1994,,Texas Historical Commission,29.3005,-94.7758,,Galveston,,Galveston County,Texas,"It is at the intersection of Seawall Boulevard and 10th Street, on the right when traveling east on Seawall Boulevard. ",,,1/5/2012,5/19/2020
79246,108,Alec Simmons,,,https://www.hmdb.org/m.asp?m=79246,1967,,State Historical Survey Committee,32.02085,-99.74909,,Novice,,Runnels County,Texas,"It can be reached from Farm to Market Road 382 0.6 miles south of County Road 181, on the right when traveling north. <font color=red> Reported missing.</font>",Confirmed Missing,,11/28/2014,11/28/2020
203523,111,Alexander McKinza,(1815 - About 1874),,https://www.hmdb.org/m.asp?m=203523,1976,,Texas Historical Commission,31.61362,-97.19652,,Waco,,McLennan County,Texas,It can be reached from Rock Creek Road ¼ mile north of Steinbeck Bend Drive. ,,,8/11/2022,8/11/2022
235185,112,Alexander and Alma Oppenheimer Halff House,,,https://www.hmdb.org/m.asp?m=235185,1997,,Texas Historical Commission,29.44198,-98.49565,601 Howard St,San Antonio,Tobin Hill,Bexar County,Texas,"It is at the intersection of Howard Street and West Laurel Street, on the right when traveling south on Howard Street. ",,,10/29/2023,10/29/2023
29344,113,Alexander's Distillery,,,https://www.hmdb.org/m.asp?m=29344,1964,,the State Historical Survey Committee,30.94508,-97.53271,,Salado,,Bell County,Texas,"It is on Center Circle, on the right when traveling south. ",,,3/31/2010,9/8/2019
148160,116,Alfred Madison Hightower,"(January 8, 1824 - April 10, 1897)",,https://www.hmdb.org/m.asp?m=148160,1991,,Texas Historical Commission,32.86829,-97.21108,6704 Smithfield Road,North Richland Hills,,Tarrant County,Texas,"It can be reached from Smithfield Road north of Chapman Road, on the right when traveling north. ",,,4/14/2020,4/14/2020
