OsmNodeID,ref:US-TX:thc,ref:hmdb,name,operator,osm:Latitude,osm:Longitude,addr:full,addr:city,addr:county
12395126158,205,29257,Armstrong-Adams House,Texas Historical Commission,30.94695,-97.53726,,,
12453442951,206,128590,William Blewett,Texas Historical Commission,30.84847,-93.76071,,,
12402870465,207,150401,Arney School,Texas Historical Commission,34.6874,-102.10229,,,
12453546650,207,212062,Hardin-Simmons University,Texas Historical Commission,32.47635,-99.73486,,,
12402961211,209,164688,Aron-Harris House,Texas Historical Commission,33.19912,-96.62075,,,
12454153005,209,93562,Murray Methodist Church,Texas Historical Commission,33.05638,-98.89638,,,
6550487957,212,,Arsenal Magazine,Texas Historical Commission,29.4169569,-98.4948472,,,
6204556773,213,134467,Artesian Park & Sulphur Well,Texas Historical Commission,27.7995725,-97.3943753,,,
12395078681,214,207131,"Arthur Carroll Scott, Sr., M.D.",Texas Historical Commission,31.11287,-97.33474,,,
12395078661,215,207341,"Arthur Carroll Scott, Sr., M.D.",Texas Historical Commission,31.07857,-97.36413,,,
12438060160,216,151243,Ellwood-Craig House,Texas Historical Commission,29.88286,-93.92257,,,
12423642094,218,228324,Arwine Cemetery,Texas Historical Commission,32.821,-97.15599,,,
12423678246,220,147141,Ash Creek Cemetery,Texas Historical Commission,32.88777,-97.54686,,,
12452329473,220,220347,Marian Anderson High School,Texas Historical Commission,30.94479,-95.92244,,,
12414138026,221,218067,Aston House,Texas Historical Commission,32.44335,-97.7856,,,
12453787795,221,226049,Two Miles Southwest to Fort Belknap,Texas Historical Commission,33.17726,-98.74107,,,
12414184431,222,139282,Aston-Landers Building,Texas Historical Commission,32.44324,-97.78695,,,
6183018261,223,56663,Atascosa County,Texas Historical Commission,28.9193443,-98.5458591,,,
6183018260,224,56584,Atascosa County Courthouse,Texas Historical Commission,28.9196406,-98.5458323,,,
6183018259,225,56636,Atascosa County Courthouse,Texas Historical Commission,28.9185186,-98.5454279,,,
12403616619,226,174392,Thomas Henry Borden,Texas Historical Commission,29.2872,-94.80752,,,
12402907984,228,55888,"Atchison, Topeka, & Santa Fe Railroad Depot",Texas Historical Commission,35.34128,-101.37775,,,
9901660701,229,,Atelier Building,Texas Historical Commission,32.7514017,-97.3306641,,,
12453506227,230,208709,Wootan Wells,Texas Historical Commission,31.139,-96.72267,,,
12402905126,232,78265,Atoka Cemetery,Texas Historical Commission,31.99396,-99.67277,,,
8790479258,235,,August Dietz Cottage,Texas Historical Commission,29.7047001,-98.1250683,,,
6345930726,238,60760,August Fransal,Texas Historical Commission,31.1805482,-105.3510151,,,
12402888040,239,169408,Augustine Celaya House,Texas Historical Commission,29.79008,-95.82011,,,
12438052668,242,220276,First Methodist Church,Texas Historical Commission,32.4051,-97.21225,,,
12389418518,243,125601,Austin County,Texas Historical Commission,29.95667,-96.26864,,,
